+-----------------------------------------------------------------+-----------------------------------------------------------------+------------+-----------------------+
|                                x                                |                                y                                | iterations |          time         |
|                      1500520536206896083277                     |                      2427893228399975082453                     |    102     |          0.0          |
|                      2427893228399975082453                     |                      3928413764606871165730                     |    103     |          0.0          |
|                      3928413764606871165730                     |                      6356306993006846248183                     |    104     |          0.0          |
|                      6356306993006846248183                     |                     10284720757613717413913                     |    105     |          0.0          |
|                     10284720757613717413913                     |                     16641027750620563662096                     |    106     |          0.0          |
|                     16641027750620563662096                     |                     26925748508234281076009                     |    107     |          0.0          |
|                     26925748508234281076009                     |                     43566776258854844738105                     |    108     |          0.0          |
|                     43566776258854844738105                     |                     70492524767089125814114                     |    109     | 0.0009963512420654297 |
|                     70492524767089125814114                     |                     114059301025943970552219                    |    110     |          0.0          |
|                     114059301025943970552219                    |                     184551825793033096366333                    |    111     |          0.0          |
|                     184551825793033096366333                    |                     298611126818977066918552                    |    112     |          0.0          |
|                     298611126818977066918552                    |                     483162952612010163284885                    |    113     |          0.0          |
|                     483162952612010163284885                    |                     781774079430987230203437                    |    114     |          0.0          |
|                     781774079430987230203437                    |                    1264937032042997393488322                    |    115     |          0.0          |
|                    1264937032042997393488322                    |                    2046711111473984623691759                    |    116     |          0.0          |
|                    2046711111473984623691759                    |                    3311648143516982017180081                    |    117     |          0.0          |
|                    3311648143516982017180081                    |                    5358359254990966640871840                    |    118     |          0.0          |
|                    5358359254990966640871840                    |                    8670007398507948658051921                    |    119     |          0.0          |
|                    8670007398507948658051921                    |                    14028366653498915298923761                   |    120     |          0.0          |
|                    14028366653498915298923761                   |                    22698374052006863956975682                   |    121     |          0.0          |
|                    22698374052006863956975682                   |                    36726740705505779255899443                   |    122     |          0.0          |
|                    36726740705505779255899443                   |                    59425114757512643212875125                   |    123     |          0.0          |
|                    59425114757512643212875125                   |                    96151855463018422468774568                   |    124     |          0.0          |
|                    96151855463018422468774568                   |                   155576970220531065681649693                   |    125     |          0.0          |
|                   155576970220531065681649693                   |                   251728825683549488150424261                   |    126     |          0.0          |
|                   251728825683549488150424261                   |                   407305795904080553832073954                   |    127     |          0.0          |
|                   407305795904080553832073954                   |                   659034621587630041982498215                   |    128     |          0.0          |
|                   659034621587630041982498215                   |                   1066340417491710595814572169                  |    129     |          0.0          |
|                   1066340417491710595814572169                  |                   1725375039079340637797070384                  |    130     |          0.0          |
|                   1725375039079340637797070384                  |                   2791715456571051233611642553                  |    131     |          0.0          |
|                   2791715456571051233611642553                  |                   4517090495650391871408712937                  |    132     | 0.0009965896606445312 |
|                   4517090495650391871408712937                  |                   7308805952221443105020355490                  |    133     |          0.0          |
|                   7308805952221443105020355490                  |                  11825896447871834976429068427                  |    134     |          0.0          |
|                  11825896447871834976429068427                  |                  19134702400093278081449423917                  |    135     |          0.0          |
|                  19134702400093278081449423917                  |                  30960598847965113057878492344                  |    136     |          0.0          |
|                  30960598847965113057878492344                  |                  50095301248058391139327916261                  |    137     |          0.0          |
|                  50095301248058391139327916261                  |                  81055900096023504197206408605                  |    138     |          0.0          |
|                  81055900096023504197206408605                  |                  131151201344081895336534324866                 |    139     |          0.0          |
|                  131151201344081895336534324866                 |                  212207101440105399533740733471                 |    140     |          0.0          |
|                  212207101440105399533740733471                 |                  343358302784187294870275058337                 |    141     |          0.0          |
|                  343358302784187294870275058337                 |                  555565404224292694404015791808                 |    142     |          0.0          |
|                  555565404224292694404015791808                 |                  898923707008479989274290850145                 |    143     |          0.0          |
|                  898923707008479989274290850145                 |                 1454489111232772683678306641953                 |    144     |          0.0          |
|                 1454489111232772683678306641953                 |                 2353412818241252672952597492098                 |    145     |          0.0          |
|                 2353412818241252672952597492098                 |                 3807901929474025356630904134051                 |    146     |          0.0          |
|                 3807901929474025356630904134051                 |                 6161314747715278029583501626149                 |    147     |          0.0          |
|                 6161314747715278029583501626149                 |                 9969216677189303386214405760200                 |    148     |          0.0          |
|                 9969216677189303386214405760200                 |                 16130531424904581415797907386349                |    149     |          0.0          |
|                 16130531424904581415797907386349                |                 26099748102093884802012313146549                |    150     |          0.0          |
|                 26099748102093884802012313146549                |                 42230279526998466217810220532898                |    151     |          0.0          |
|                 42230279526998466217810220532898                |                 68330027629092351019822533679447                |    152     | 0.0009975433349609375 |
|                 68330027629092351019822533679447                |                110560307156090817237632754212345                |    153     |          0.0          |
|                110560307156090817237632754212345                |                178890334785183168257455287891792                |    154     |          0.0          |
|                178890334785183168257455287891792                |                289450641941273985495088042104137                |    155     |          0.0          |
|                289450641941273985495088042104137                |                468340976726457153752543329995929                |    156     |          0.0          |
|                468340976726457153752543329995929                |                757791618667731139247631372100066                |    157     |          0.0          |
|                757791618667731139247631372100066                |                1226132595394188293000174702095995               |    158     |          0.0          |
|                1226132595394188293000174702095995               |                1983924214061919432247806074196061               |    159     |          0.0          |
|                1983924214061919432247806074196061               |                3210056809456107725247980776292056               |    160     |          0.0          |
|                3210056809456107725247980776292056               |                5193981023518027157495786850488117               |    161     |          0.0          |
|                5193981023518027157495786850488117               |                8404037832974134882743767626780173               |    162     |          0.0          |
|                8404037832974134882743767626780173               |               13598018856492162040239554477268290               |    163     |          0.0          |
|               13598018856492162040239554477268290               |               22002056689466296922983322104048463               |    164     |          0.0          |
|               22002056689466296922983322104048463               |               35600075545958458963222876581316753               |    165     |          0.0          |
|               35600075545958458963222876581316753               |               57602132235424755886206198685365216               |    166     |          0.0          |
|               57602132235424755886206198685365216               |               93202207781383214849429075266681969               |    167     |          0.0          |
|               93202207781383214849429075266681969               |               150804340016807970735635273952047185              |    168     |          0.0          |
|               150804340016807970735635273952047185              |               244006547798191185585064349218729154              |    169     |          0.0          |
|               244006547798191185585064349218729154              |               394810887814999156320699623170776339              |    170     |          0.0          |
|               394810887814999156320699623170776339              |               638817435613190341905763972389505493              |    171     |          0.0          |
|               638817435613190341905763972389505493              |              1033628323428189498226463595560281832              |    172     |          0.0          |
|              1033628323428189498226463595560281832              |              1672445759041379840132227567949787325              |    173     |          0.0          |
|              1672445759041379840132227567949787325              |              2706074082469569338358691163510069157              |    174     |          0.0          |
|              2706074082469569338358691163510069157              |              4378519841510949178490918731459856482              |    175     |          0.0          |
|              4378519841510949178490918731459856482              |              7084593923980518516849609894969925639              |    176     |          0.0          |
|              7084593923980518516849609894969925639              |              11463113765491467695340528626429782121             |    177     |          0.0          |
|              11463113765491467695340528626429782121             |              18547707689471986212190138521399707760             |    178     |          0.0          |
|              18547707689471986212190138521399707760             |              30010821454963453907530667147829489881             |    179     |          0.0          |
|              30010821454963453907530667147829489881             |              48558529144435440119720805669229197641             |    180     |  0.000997304916381836 |
|              48558529144435440119720805669229197641             |              78569350599398894027251472817058687522             |    181     |          0.0          |
|              78569350599398894027251472817058687522             |             127127879743834334146972278486287885163             |    182     |          0.0          |
|             127127879743834334146972278486287885163             |             205697230343233228174223751303346572685             |    183     |          0.0          |
|             205697230343233228174223751303346572685             |             332825110087067562321196029789634457848             |    184     |          0.0          |
|             332825110087067562321196029789634457848             |             538522340430300790495419781092981030533             |    185     |          0.0          |
|             538522340430300790495419781092981030533             |             871347450517368352816615810882615488381             |    186     |          0.0          |
|             871347450517368352816615810882615488381             |             1409869790947669143312035591975596518914            |    187     |          0.0          |
|             1409869790947669143312035591975596518914            |             2281217241465037496128651402858212007295            |    188     |          0.0          |
|             2281217241465037496128651402858212007295            |             3691087032412706639440686994833808526209            |    189     |          0.0          |
|             3691087032412706639440686994833808526209            |             5972304273877744135569338397692020533504            |    190     |          0.0          |
|             5972304273877744135569338397692020533504            |             9663391306290450775010025392525829059713            |    191     |          0.0          |
